strategy,model,sim_id,size,depth,base_p,min_p,max_p,alpha,weight_scale,weight_shift,max_steps,lt_threshold,prob_map,edge_weight_key,metadata,month
ic_balanced,ic,0,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,1,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,2,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,3,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,4,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,5,15,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,6,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,7,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,8,15,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,9,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,10,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,11,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,12,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,13,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,14,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,15,16,3,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,16,16,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,17,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,18,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,19,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,20,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,21,17,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,22,17,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,23,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,24,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,25,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,26,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,27,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,28,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,29,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,30,15,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,31,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,32,17,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,33,15,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,34,14,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,35,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,36,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,37,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,38,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,39,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,40,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,41,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,42,16,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,43,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,44,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,45,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,46,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,47,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,48,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,49,16,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,50,15,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,51,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,52,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,53,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,54,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,55,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,56,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,57,22,6,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,58,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,59,17,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,60,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,61,14,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,62,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,63,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,64,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,65,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,66,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,67,15,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,68,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,69,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,70,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,71,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,72,14,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,73,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,74,14,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,75,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,76,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,77,16,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,78,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,79,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,80,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,81,17,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,82,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,83,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,84,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,85,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,86,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,87,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,88,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,89,14,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,90,16,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,91,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,92,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,93,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,94,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,95,15,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,96,16,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,97,16,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,98,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,99,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,100,12,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,101,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,102,16,2,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,103,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,104,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,105,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,106,13,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,ic,107,14,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
