app_id,timestamp,discount_pct,pre_reviews,post_reviews,delta_reviews,month_tag
620,2025-07-10 17:17:16+00:00,0.0,477,357,-120,2025-07-31
8930,2025-07-10 17:17:11+00:00,0.0,174,107,-67,2025-07-31
105600,2025-07-10 17:17:26+00:00,0.0,140,92,-48,2025-07-31
210970,2025-07-24 17:16:12+00:00,0.0,191,123,-68,2025-07-31
227300,2025-07-23 17:15:12+00:00,0.0,83,220,137,2025-07-31
236850,2025-07-10 17:17:38+00:00,0.0,172,143,-29,2025-07-31
242760,2025-07-10 17:17:40+00:00,0.0,119,333,214,2025-07-31
255710,2025-07-10 17:17:43+00:00,0.0,172,126,-46,2025-07-31
257510,2025-07-10 17:17:44+00:00,0.0,125,111,-14,2025-07-31
264710,2025-07-10 17:17:46+00:00,0.0,95,81,-14,2025-07-31
268910,2025-07-10 17:17:47+00:00,0.0,337,248,-89,2025-07-31
270880,2025-07-23 17:15:12+00:00,0.0,233,167,-66,2025-07-31
275850,2025-07-10 17:17:49+00:00,0.0,25,21,-4,2025-07-31
275850,2025-07-14 17:15:57+00:00,60.01,22,27,5,2025-07-31
275850,2025-07-26 17:16:20+00:00,0.0,25,24,-1,2025-07-31
289070,2025-07-10 17:17:53+00:00,0.0,331,241,-90,2025-07-31
292030,2025-07-10 17:17:54+00:00,0.0,105,92,-13,2025-07-31
294100,2025-07-24 17:16:13+00:00,0.0,694,405,-289,2025-07-31
367520,2025-07-10 17:22:58+00:00,0.0,127,85,-42,2025-07-31
394360,2025-07-10 17:33:12+00:00,0.0,296,229,-67,2025-07-31
413150,2025-07-10 17:26:18+00:00,0.0,201,170,-31,2025-07-31
457140,2025-07-10 17:23:15+00:00,0.0,210,149,-61,2025-07-31
493340,2025-07-10 17:26:30+00:00,0.0,127,100,-27,2025-07-31
493340,2025-07-17 17:16:00+00:00,75.02,109,107,-2,2025-07-31
493340,2025-07-22 17:15:37+00:00,0.0,106,118,12,2025-07-31
504230,2025-07-10 17:26:35+00:00,0.0,479,326,-153,2025-07-31
526870,2025-07-10 17:52:53+00:00,0.0,71,95,24,2025-07-31
526870,2025-07-14 17:16:03+00:00,30.01,66,97,31,2025-07-31
526870,2025-07-21 17:18:38+00:00,0.0,101,59,-42,2025-07-31
535930,2025-07-22 17:15:39+00:00,0.0,225,135,-90,2025-07-31
548430,2025-07-10 17:26:47+00:00,0.0,307,204,-103,2025-07-31
548430,2025-07-26 17:16:13+00:00,70.02,192,262,70,2025-07-31
553850,2025-07-10 17:26:50+00:00,0.0,69,60,-9,2025-07-31
588650,2025-07-10 17:27:02+00:00,0.0,193,229,36,2025-07-31
