app_id,discount_pct,delta_reviews,weight,month
493340,75.02,-5.666666666666667,75.02,2025-07-31
782330,75.02,12.0,75.02,2025-07-31
548430,70.02,-16.5,70.02,2025-07-31
703080,70.02,-33.333333333333336,70.02,2025-07-31
1272080,70.02,-68.0,70.02,2025-07-31
1158310,70.01,-10.5,70.01,2025-07-31
588650,60.02,23.333333333333332,60.02,2025-07-31
275850,60.01,0.0,60.01,2025-07-31
1716740,40.01,18.5,40.01,2025-07-31
526870,30.01,4.333333333333333,30.01,2025-07-31
1623730,25.01,5.0,25.01,2025-07-31
1794680,20.04,-11.0,20.04,2025-07-31
1903340,10.0,-24.666666666666668,10.0,2025-07-31
