depth,count,mean_size,std_size,max_size
0,12,8.0,0.0,8
1,36,9.694444444444445,0.8558853209044326,12
2,47,12.148936170212766,1.6415623973924478,17
3,34,14.411764705882353,2.2712651268164037,19
4,13,16.46153846153846,2.6336092033362575,23
5,5,19.2,4.8166378315169185,25
6,2,17.5,0.7071067811865476,18
7,1,26.0,,26
