app_id,discount_pct,delta_reviews,weight,month
236850,90.02,1.3333333333333333,90.02,2025-01-31
257510,85.03,-3.5,85.03,2025-01-31
2488620,85.01,73.5,85.01,2025-01-31
292030,80.02,-15.5,80.02,2025-01-31
270880,75.04,-20.0,75.04,2025-01-31
227300,75.04,-6.666666666666667,75.04,2025-01-31
1649080,75.03,18.0,75.03,2025-01-31
210970,75.02,14.0,75.02,2025-01-31
632470,75.02,7.666666666666667,75.02,2025-01-31
883710,75.02,-3.5,75.02,2025-01-31
493340,75.02,-146.0,75.02,2025-01-31
782330,75.02,4.666666666666667,75.02,2025-01-31
1174180,75.01,39.0,75.01,2025-01-31
1158310,70.01,-18.666666666666668,70.01,2025-01-31
394360,70.01,12.0,70.01,2025-01-31
