app_id,discount_pct,delta_reviews,weight,month
493340,85.02,2.5,85.02,2025-04-30
227300,75.04,-9.5,75.04,2025-04-30
270880,75.04,-11.0,75.04,2025-04-30
601150,75.03,151.5,75.03,2025-04-30
703080,75.02,29.5,75.02,2025-04-30
883710,75.02,59.0,75.02,2025-04-30
1174180,75.01,-3.0,75.01,2025-04-30
1158310,70.01,141.0,70.01,2025-04-30
548430,67.02,106.0,67.02,2025-04-30
1326470,60.02,-11.5,60.02,2025-04-30
1272080,60.02,41.0,60.02,2025-04-30
1196590,60.02,27.0,60.02,2025-04-30
105600,50.05,14.5,50.05,2025-04-30
588650,50.02,-15.0,50.02,2025-04-30
535930,50.02,25.0,50.02,2025-04-30
