node,deg,strength,betweenness,eigenvector
620,1,0.05255036455571167,0.0,0.0
242760,1,0.05255036455571167,0.0,0.0
255710,2,0.016609774623958812,0.012987012987012988,0.0
270880,1,0.007541891767379761,0.0,0.0
703080,2,0.02389371047753693,0.017316017316017316,0.0
257510,1,0.023890272384495,0.0,0.0
835960,1,0.023890272384495,0.0,0.0
264710,1,0.06426413689314979,0.0,0.0
848450,1,0.06426413689314979,0.0,0.0
367520,1,0.03091550522513789,0.0,0.0
504230,1,0.03091550522513789,0.0,0.0
457140,1,0.004852371272876612,0.0,0.0
493340,2,0.01967819889383449,0.012987012987012988,0.0
535930,1,0.021551777946148692,0.0,0.0
1649080,1,0.021551777946148692,0.0,0.0
1091500,3,0.06234879775195542,0.012987012987012988,0.0
1174180,1,0.013766065735659708,0.0,0.0
1850570,1,0.04104537044888888,0.0,0.0
2072450,1,0.007537361567406829,0.0,0.0
1282100,1,0.007971120348806243,0.0,0.0
1888160,1,0.007971120348806243,0.0,0.0
2420110,1,0.021958564382775495,0.0,0.0
2561580,1,0.021958564382775495,0.0,0.0
