month,n,m,avg_w,avg_deg,cc
2024-11-30,16,8,0.024315133061643245,1.0,0.0
2024-12-31,23,14,0.022981322357569535,1.2173913043478262,0.0
2025-01-31,14,7,0.028425848708918098,1.0,0.0
2025-02-28,20,11,0.03361437860698163,1.1,0.0
2025-03-31,23,17,0.01779631479880652,1.4782608695652173,0.034124611331788846
2025-04-30,17,10,0.030837422400423097,1.1764705882352942,0.0
2025-05-31,40,35,0.019632398822869584,1.75,0.011995640893393616
2025-06-30,48,60,0.015765079936517126,2.5,0.03974279045347049
2025-07-31,54,87,0.011921262147224707,3.2222222222222223,0.02998826061000028
2025-08-31,59,97,0.013037872737813417,3.288135593220339,0.025011468315984966
2025-09-30,47,69,0.015080583022398753,2.9361702127659575,0.026059486166760626
2025-10-31,56,127,0.013549487206474326,4.535714285714286,0.04855800150934801
2025-11-30,10,7,0.033396588099098796,1.4,0.0
