node,deg,strength,betweenness,eigenvector
620,1,0.048780487804283165,0.0,0.0
242760,1,0.048780487804283165,0.0,0.0
255710,2,0.0174510542168239,0.012987012987012988,0.0
270880,1,0.007812499999979655,0.0,0.0
703080,2,0.026506024096321672,0.017316017316017316,0.0
257510,1,0.04100946372226811,0.0,0.0
835960,1,0.04100946372226811,0.0,0.0
264710,1,0.07608695652091209,0.0,0.0
848450,1,0.07608695652091209,0.0,0.0
367520,1,0.03225806451578217,0.0,0.0
504230,1,0.03225806451578217,0.0,0.0
457140,1,0.006097560975597363,0.0,0.0
493340,2,0.02296503085507479,0.012987012987012988,0.0
535930,1,0.05223880596975942,0.0,0.0
1649080,1,0.05223880596975942,0.0,0.0
1091500,3,0.06205417389562864,0.012987012987012988,0.0
1174180,1,0.012145748987805079,0.0,0.0
1850570,1,0.04166666666608796,0.0,0.0
2072450,1,0.0082417582417356,0.0,0.0
1282100,1,0.007518796992462359,0.0,0.0
1888160,1,0.007518796992462359,0.0,0.0
2420110,1,0.02054794520543254,0.0,0.0
2561580,1,0.02054794520543254,0.0,0.0
