month,n,m,avg_w,avg_deg,cc
2024-11-30,16,8,0.03202867076841409,1.0,0.0
2024-12-31,23,14,0.027207912835601943,1.2173913043478262,0.0
2025-01-31,14,7,0.03611585552010888,1.0,0.0
2025-02-28,20,11,0.0383842034617929,1.1,0.0
2025-03-31,23,17,0.02006643044538595,1.4782608695652173,0.029318164978106888
2025-04-30,17,10,0.035958715227589824,1.1764705882352942,0.0
2025-05-31,40,35,0.022053528563280442,1.75,0.011869016698865822
2025-06-30,48,60,0.018230038401319693,2.5,0.035306739877867865
2025-07-31,54,87,0.013635531645145667,3.2222222222222223,0.0187454877413509
2025-08-31,59,97,0.014326763737155348,3.288135593220339,0.026207807269177943
2025-09-30,47,69,0.016014379985323113,2.9361702127659575,0.02703241458781769
2025-10-31,56,127,0.014683952083536036,4.535714285714286,0.03329812777551609
2025-11-30,10,7,0.035320524281944224,1.4,0.0
