app_id,discount_pct,delta_reviews,weight,month
1649080,90.03,237.5,90.03,2025-09-30
782330,90.02,184.0,90.02,2025-09-30
236850,90.02,5.0,90.02,2025-09-30
289070,90.02,32.0,90.02,2025-09-30
257510,85.03,14.666666666666666,85.03,2025-09-30
620,80.08,76.0,80.08,2025-09-30
210970,80.02,14.333333333333334,80.02,2025-09-30
292030,80.02,55.333333333333336,80.02,2025-09-30
242760,75.04,195.0,75.04,2025-09-30
227300,75.04,15.5,75.04,2025-09-30
504230,75.04,103.0,75.04,2025-09-30
270880,75.04,-12.0,75.04,2025-09-30
1145360,75.03,247.33333333333334,75.03,2025-09-30
8930,75.03,-15.0,75.03,2025-09-30
493340,75.02,-10.0,75.02,2025-09-30
