sim_id,size,depth
0,12,1
1,12,0
2,11,0
3,12,1
4,10,0
5,12,0
6,12,0
7,12,1
8,10,0
9,11,0
10,12,1
11,12,1
12,13,1
13,12,1
14,12,1
15,11,0
16,13,1
17,11,0
18,12,0
19,12,1
20,11,0
21,12,0
22,12,0
23,12,1
24,12,1
25,13,1
26,9,0
27,11,1
28,10,0
29,12,2
30,13,1
31,12,0
32,11,0
33,11,0
34,10,0
35,9,0
36,12,0
37,11,0
38,13,1
39,12,0
40,12,0
41,11,0
42,11,0
43,11,0
44,11,0
45,14,1
46,11,0
47,13,1
48,9,0
49,12,1
50,11,0
51,10,0
52,11,0
53,10,0
54,11,0
55,13,1
56,11,1
57,10,1
58,10,0
59,9,0
60,11,0
61,10,1
62,10,0
63,11,0
64,10,0
65,13,1
66,13,1
67,11,0
68,11,0
69,12,0
70,9,0
71,10,0
72,10,0
73,10,1
74,13,1
75,12,0
76,12,1
77,11,0
78,8,0
79,13,1
80,11,0
81,12,1
82,11,1
83,12,1
84,11,0
85,10,0
86,12,0
87,11,0
88,9,0
89,12,0
90,12,1
91,11,0
92,11,0
93,11,1
94,9,0
95,11,0
96,11,0
97,10,0
98,13,1
99,11,0
100,11,0
101,11,0
102,10,0
103,12,0
104,13,1
105,10,0
106,10,0
107,11,0
108,10,0
109,11,0
110,10,0
111,12,1
112,10,0
113,12,0
114,11,0
115,10,0
116,12,0
117,12,0
118,13,1
119,11,0
120,14,2
121,13,1
122,12,0
123,11,1
124,11,0
125,11,0
126,11,0
127,10,0
128,12,0
129,12,0
130,11,0
131,12,0
132,13,1
133,11,0
134,12,0
135,10,0
136,12,1
137,12,0
138,10,0
139,12,1
140,12,1
141,11,0
142,10,1
143,12,1
144,10,0
145,10,1
146,5,0
147,11,0
148,12,1
149,12,1
