app_id,timestamp,discount_pct,pre_reviews,post_reviews,delta_reviews,month_tag
588650,2025-09-29 21:03:03+00:00,50.02,153,111,-42,2025-09-30
601150,2025-09-23 17:15:24+00:00,67.02,70,98,28,2025-09-30
632470,2025-09-22 17:16:20+00:00,75.02,156,184,28,2025-09-30
703080,2025-09-04 17:19:47+00:00,0.0,132,87,-45,2025-09-30
703080,2025-09-29 20:29:18+00:00,70.02,76,111,35,2025-09-30
739630,2025-09-29 20:03:36+00:00,25.01,370,470,100,2025-09-30
753640,2025-09-06 17:16:27+00:00,0.0,248,247,-1,2025-09-30
753640,2025-09-29 20:30:28+00:00,40.02,206,259,53,2025-09-30
782330,2025-09-29 20:03:32+00:00,90.02,93,277,184,2025-09-30
814380,2025-09-22 17:16:23+00:00,50.01,153,274,121,2025-09-30
835960,2025-09-18 17:17:59+00:00,70.02,41,103,62,2025-09-30
835960,2025-09-26 17:15:33+00:00,0.0,72,116,44,2025-09-30
835960,2025-09-29 21:07:47+00:00,70.02,90,109,19,2025-09-30
848450,2025-09-29 20:12:11+00:00,67.02,80,119,39,2025-09-30
883710,2025-09-23 17:15:24+00:00,75.02,150,194,44,2025-09-30
892970,2025-09-08 17:16:22+00:00,50.03,335,420,85,2025-09-30
892970,2025-09-15 17:17:20+00:00,0.0,371,379,8,2025-09-30
892970,2025-09-29 20:53:04+00:00,50.03,379,340,-39,2025-09-30
949230,2025-09-29 17:30:47+00:00,20.0,139,187,48,2025-09-30
962130,2025-09-24 17:15:48+00:00,50.01,89,158,69,2025-09-30
1086940,2025-09-01 17:22:15+00:00,25.0,105,123,18,2025-09-30
1086940,2025-09-08 17:22:31+00:00,0.0,120,101,-19,2025-09-30
1086940,2025-09-29 21:03:02+00:00,25.0,90,97,7,2025-09-30
1091500,2025-09-18 17:31:08+00:00,65.01,119,143,24,2025-09-30
1091500,2025-09-28 17:15:47+00:00,0.0,137,127,-10,2025-09-30
1091500,2025-09-29 21:07:55+00:00,65.01,139,127,-12,2025-09-30
1145360,2025-09-17 17:20:27+00:00,75.03,146,580,434,2025-09-30
1145360,2025-09-25 17:19:07+00:00,0.0,386,627,241,2025-09-30
1145360,2025-09-29 21:07:42+00:00,75.03,525,592,67,2025-09-30
1158310,2025-09-08 17:22:06+00:00,50.01,134,149,15,2025-09-30
1158310,2025-09-15 17:23:33+00:00,0.0,164,119,-45,2025-09-30
1158310,2025-09-29 20:42:26+00:00,70.01,119,147,28,2025-09-30
1172620,2025-09-24 17:15:46+00:00,50.01,95,127,32,2025-09-30
1174180,2025-09-08 17:22:18+00:00,0.0,146,78,-68,2025-09-30
1174180,2025-09-29 20:35:46+00:00,75.01,73,123,50,2025-09-30
1196590,2025-09-23 17:18:57+00:00,75.02,143,193,50,2025-09-30
1259420,2025-09-29 19:36:47+00:00,50.01,95,123,28,2025-09-30
1272080,2025-09-25 17:19:04+00:00,67.02,91,277,186,2025-09-30
1282100,2025-09-01 17:23:17+00:00,0.0,138,124,-14,2025-09-30
1282100,2025-09-29 20:19:36+00:00,60.01,79,148,69,2025-09-30
1326470,2025-09-29 17:31:40+00:00,67.02,180,636,456,2025-09-30
1363080,2025-09-06 17:16:30+00:00,0.0,148,110,-38,2025-09-30
1363080,2025-09-29 20:30:26+00:00,35.01,128,339,211,2025-09-30
1551360,2025-09-24 17:15:51+00:00,50.01,130,295,165,2025-09-30
1623730,2025-09-08 17:22:15+00:00,25.01,218,347,129,2025-09-30
1623730,2025-09-22 17:21:26+00:00,0.0,347,313,-34,2025-09-30
1623730,2025-09-29 20:57:20+00:00,25.01,381,284,-97,2025-09-30
1649080,2025-09-04 17:20:01+00:00,0.0,106,80,-26,2025-09-30
1649080,2025-09-29 20:29:18+00:00,90.03,70,571,501,2025-09-30
1716740,2025-09-29 17:35:28+00:00,40.01,140,116,-24,2025-09-30
1794680,2025-09-29 17:33:04+00:00,25.05,103,130,27,2025-09-30
1850570,2025-09-22 17:21:09+00:00,50.01,181,191,10,2025-09-30
1888160,2025-09-29 17:48:55+00:00,40.01,84,162,78,2025-09-30
1903340,2025-09-11 17:16:46+00:00,0.0,70,64,-6,2025-09-30
1903340,2025-09-29 20:52:27+00:00,10.0,61,64,3,2025-09-30
2050650,2025-09-23 17:18:54+00:00,50.01,199,317,118,2025-09-30
2054970,2025-09-23 17:18:54+00:00,58.01,77,125,48,2025-09-30
2072450,2025-09-04 17:20:02+00:00,0.0,76,69,-7,2025-09-30
2072450,2025-09-29 20:29:22+00:00,60.01,71,84,13,2025-09-30
2420110,2025-09-29 17:31:09+00:00,40.01,91,96,5,2025-09-30
2561580,2025-09-29 19:44:20+00:00,40.01,77,118,41,2025-09-30
3240220,2025-09-29 20:36:08+00:00,50.02,49,81,32,2025-09-30
