app_id,timestamp,discount_pct,pre_reviews,post_reviews,delta_reviews,month_tag
620,2025-09-29 17:36:20+00:00,80.08,163,239,76,2025-09-30
8930,2025-09-18 17:19:27+00:00,75.03,105,90,-15,2025-09-30
105600,2025-09-29 17:30:47+00:00,50.05,133,674,541,2025-09-30
210970,2025-09-04 17:19:25+00:00,75.02,93,124,31,2025-09-30
210970,2025-09-18 17:17:40+00:00,0.0,124,86,-38,2025-09-30
210970,2025-09-29 20:56:24+00:00,80.02,90,140,50,2025-09-30
227300,2025-09-01 17:16:42+00:00,0.0,389,327,-62,2025-09-30
227300,2025-09-29 20:18:52+00:00,75.04,340,433,93,2025-09-30
236850,2025-09-29 20:12:49+00:00,90.02,102,107,5,2025-09-30
242760,2025-09-29 17:31:11+00:00,75.04,170,365,195,2025-09-30
255710,2025-09-29 17:31:22+00:00,70.02,97,133,36,2025-09-30
257510,2025-09-18 17:17:44+00:00,85.03,65,89,24,2025-09-30
257510,2025-09-25 17:19:08+00:00,0.0,82,87,5,2025-09-30
257510,2025-09-29 21:07:40+00:00,85.03,82,97,15,2025-09-30
264710,2025-09-29 20:12:10+00:00,67.02,225,344,119,2025-09-30
268910,2025-09-29 17:31:28+00:00,30.02,148,202,54,2025-09-30
270880,2025-09-01 17:16:45+00:00,0.0,144,128,-16,2025-09-30
270880,2025-09-29 20:18:59+00:00,75.04,125,117,-8,2025-09-30
275850,2025-09-08 17:16:32+00:00,0.0,102,32,-70,2025-09-30
275850,2025-09-29 21:07:39+00:00,60.01,27,33,6,2025-09-30
289070,2025-09-18 17:19:28+00:00,90.02,127,159,32,2025-09-30
292030,2025-09-18 17:18:07+00:00,80.02,303,316,13,2025-09-30
292030,2025-09-28 17:15:47+00:00,0.0,298,377,79,2025-09-30
292030,2025-09-29 21:07:54+00:00,80.02,300,374,74,2025-09-30
294100,2025-09-29 17:33:15+00:00,20.01,204,226,22,2025-09-30
346110,2025-09-29 17:36:18+00:00,67.04,187,286,99,2025-09-30
367520,2025-09-01 17:16:47+00:00,0.0,372,458,86,2025-09-30
374320,2025-09-29 17:36:10+00:00,50.01,107,198,91,2025-09-30
394360,2025-09-25 17:18:58+00:00,70.01,191,334,143,2025-09-30
413150,2025-09-29 17:35:39+00:00,30.02,99,97,-2,2025-09-30
457140,2025-09-29 17:50:08+00:00,66.03,75,109,34,2025-09-30
493340,2025-09-04 17:19:47+00:00,0.0,103,83,-20,2025-09-30
493340,2025-09-29 20:29:20+00:00,75.02,68,68,0,2025-09-30
504230,2025-09-29 20:18:26+00:00,75.04,186,289,103,2025-09-30
526870,2025-09-01 17:16:49+00:00,0.0,426,430,4,2025-09-30
526870,2025-09-29 20:23:58+00:00,30.01,310,303,-7,2025-09-30
535930,2025-09-04 17:19:55+00:00,0.0,141,101,-40,2025-09-30
535930,2025-09-29 20:29:21+00:00,66.02,89,108,19,2025-09-30
548430,2025-09-08 17:16:30+00:00,67.02,161,209,48,2025-09-30
548430,2025-09-22 17:16:25+00:00,0.0,209,220,11,2025-09-30
548430,2025-09-29 20:57:23+00:00,67.02,228,205,-23,2025-09-30
553850,2025-09-29 17:33:00+00:00,20.01,462,183,-279,2025-09-30
588650,2025-09-11 17:16:34+00:00,50.02,124,171,47,2025-09-30
588650,2025-09-23 17:15:24+00:00,0.0,175,132,-43,2025-09-30
