depth,count,mean_size,std_size,max_size
0,2,12.0,0.0,12
1,40,14.725,1.4139869074213434,18
2,46,17.47826086956522,2.198374454351645,22
3,41,19.365853658536587,2.2221172061907035,24
4,12,21.666666666666668,2.3868325657594203,26
5,7,23.428571428571427,3.8668308667927223,30
6,2,21.0,0.0,21
