app_id,discount_pct,delta_reviews,weight,month
255710,90.03,141.5,90.03,2024-11-30
257510,90.03,114.5,90.03,2024-11-30
236850,90.02,216.0,90.02,2024-11-30
289070,90.02,5.0,90.02,2024-11-30
620,80.08,25.0,80.08,2024-11-30
242760,80.04,52.0,80.04,2024-11-30
270880,75.04,85.0,75.04,2024-11-30
227300,75.04,25.0,75.04,2024-11-30
504230,75.04,19.5,75.04,2024-11-30
1649080,75.03,140.0,75.03,2024-11-30
535930,75.03,37.0,75.03,2024-11-30
632470,75.02,19.666666666666668,75.02,2024-11-30
292030,75.02,30.0,75.02,2024-11-30
1259420,75.02,35.5,75.02,2024-11-30
883710,75.02,10.0,75.02,2024-11-30
