app_id,discount_pct,delta_reviews,weight,month
289070,95.02,-27.0,95.02,2025-06-30
632470,90.02,65.0,90.02,2025-06-30
236850,90.02,42.0,90.02,2025-06-30
257510,85.03,8.0,85.03,2025-06-30
620,80.08,141.5,80.08,2025-06-30
242760,80.04,75.0,80.04,2025-06-30
292030,80.02,24.0,80.02,2025-06-30
2669320,80.01,141.0,80.01,2025-06-30
504230,75.04,323.0,75.04,2025-06-30
270880,75.04,82.0,75.04,2025-06-30
227300,75.04,39.0,75.04,2025-06-30
8930,75.03,17.0,75.03,2025-06-30
601150,75.03,37.333333333333336,75.03,2025-06-30
1649080,75.03,60.0,75.03,2025-06-30
535930,75.03,98.0,75.03,2025-06-30
