app_id,discount_pct,delta_reviews,weight,month
620,90.09,7.5,90.09,2025-02-28
227300,75.04,7.0,75.04,2025-02-28
270880,75.04,44.0,75.04,2025-02-28
535930,75.03,50.5,75.03,2025-02-28
493340,75.02,-31.0,75.02,2025-02-28
632470,75.02,11.0,75.02,2025-02-28
2669320,70.01,32.0,70.01,2025-02-28
1172620,65.02,126.0,65.02,2025-02-28
703080,65.01,62.0,65.01,2025-02-28
753640,40.02,-5.0,40.02,2025-02-28
1794680,25.05,15.0,25.05,2025-02-28
739630,25.01,-25.0,25.01,2025-02-28
553850,20.01,14.0,20.01,2025-02-28
1086940,20.0,-8.0,20.0,2025-02-28
