app_id,discount_pct,delta_reviews,weight,month
236850,90.02,34.0,90.02,2025-08-31
289070,90.02,17.0,90.02,2025-08-31
292030,80.02,179.0,80.02,2025-08-31
504230,75.04,21.5,75.04,2025-08-31
270880,75.04,21.0,75.04,2025-08-31
227300,75.04,125.0,75.04,2025-08-31
535930,75.03,53.0,75.03,2025-08-31
848450,75.03,94.5,75.03,2025-08-31
1649080,75.03,57.0,75.03,2025-08-31
601150,75.03,5.5,75.03,2025-08-31
8930,75.03,3.0,75.03,2025-08-31
264710,75.03,267.5,75.03,2025-08-31
493340,75.02,6.0,75.02,2025-08-31
1196590,75.02,51.5,75.02,2025-08-31
632470,75.02,52.5,75.02,2025-08-31
