depth,count,mean_size,std_size,max_size
1,30,18.466666666666665,1.5698305055298016,22
2,54,21.5,2.6260667194674125,30
3,44,23.613636363636363,3.104504672253254,33
4,15,25.266666666666666,2.865226659362887,30
5,7,24.571428571428573,2.0701966780270626,27
