depth,count,mean_size,std_size,max_size
1,14,17.214285714285715,2.423556554658127,22
2,45,22.4,3.4072116032161706,31
3,58,25.53448275862069,3.0447856908502264,33
4,28,26.5,3.3719979789985595,34
5,5,25.6,3.781534080237808,31
