app_id,discount_pct,delta_reviews,weight,month
257510,85.03,-3.5,85.03,2025-10-31
242760,76.04,11.5,76.04,2025-10-31
504230,75.04,16.333333333333332,75.04,2025-10-31
883710,75.02,-36.0,75.02,2025-10-31
493340,75.02,-0.6666666666666666,75.02,2025-10-31
1196590,75.02,-20.0,75.02,2025-10-31
1174180,75.01,8.333333333333334,75.01,2025-10-31
548430,70.02,-5.0,70.02,2025-10-31
2072450,70.01,15.333333333333334,70.01,2025-10-31
1158310,70.01,111.0,70.01,2025-10-31
1326470,68.02,100.5,68.02,2025-10-31
1145360,66.03,-114.5,66.03,2025-10-31
275850,60.01,-6.0,60.01,2025-10-31
1593500,60.01,87.0,60.01,2025-10-31
892970,50.03,1.5,50.03,2025-10-31
