sim_id,size,depth
0,13,0
1,14,1
2,12,0
3,14,1
4,13,1
5,11,0
6,12,0
7,14,1
8,13,1
9,13,0
10,13,0
11,13,2
12,13,1
13,14,1
14,10,0
15,13,1
16,11,0
17,14,1
18,11,0
19,11,0
20,14,1
21,12,0
22,12,0
23,16,2
24,11,0
25,12,0
26,11,0
27,13,1
28,12,1
29,14,1
30,12,0
31,14,1
32,11,0
33,13,0
34,12,0
35,12,0
36,15,1
37,10,0
38,12,0
39,13,1
40,12,0
41,14,1
42,13,1
43,13,1
44,13,0
45,12,0
46,14,1
47,14,1
48,12,1
49,11,0
50,13,0
51,14,1
52,12,0
53,12,1
54,12,0
55,12,1
56,12,0
57,12,0
58,13,1
59,14,1
60,13,1
61,12,0
62,13,1
63,11,0
64,12,0
65,14,1
66,12,1
67,12,0
68,15,2
69,11,0
70,11,1
71,14,1
72,12,0
73,12,0
74,13,1
75,11,0
76,12,0
77,11,0
78,10,1
79,12,0
80,14,2
81,13,1
82,14,2
83,11,0
84,13,1
85,13,2
86,11,0
87,12,0
88,13,1
89,12,0
90,12,0
91,14,1
92,12,1
93,14,1
94,13,1
95,12,0
96,13,1
97,11,1
98,10,0
99,13,0
100,14,1
101,11,0
102,12,0
103,11,0
104,13,1
105,12,1
106,12,0
107,12,0
108,12,0
109,13,1
110,11,0
111,15,1
112,12,0
113,13,0
114,14,1
115,14,1
116,12,0
117,12,1
118,12,0
119,13,1
120,12,0
121,13,1
122,12,0
123,15,1
124,13,1
125,10,0
126,12,0
127,14,2
128,12,1
129,12,0
130,12,1
131,13,1
132,12,0
133,14,1
134,12,0
135,12,0
136,12,1
137,14,1
138,13,1
139,12,0
140,12,1
141,11,0
142,14,1
143,13,1
144,13,0
145,15,1
146,10,0
147,13,1
148,13,1
149,13,1
