app_id,timestamp,discount_pct,pre_reviews,post_reviews,delta_reviews,month_tag
620,2025-10-06 17:18:05+00:00,0.0,200,218,18,2025-10-31
8930,2025-10-06 17:18:07+00:00,0.0,111,81,-30,2025-10-31
105600,2025-10-06 17:18:30+00:00,0.0,464,589,125,2025-10-31
210970,2025-10-06 17:18:39+00:00,0.0,106,125,19,2025-10-31
227300,2025-10-13 17:17:07+00:00,0.0,433,378,-55,2025-10-31
236850,2025-10-06 17:18:49+00:00,0.0,109,111,2,2025-10-31
242760,2025-10-06 17:18:52+00:00,0.0,285,266,-19,2025-10-31
242760,2025-10-27 17:21:18+00:00,76.04,207,249,42,2025-10-31
255710,2025-10-06 17:18:58+00:00,0.0,134,106,-28,2025-10-31
257510,2025-10-06 17:19:00+00:00,0.0,90,90,0,2025-10-31
257510,2025-10-27 17:21:18+00:00,85.03,78,71,-7,2025-10-31
264710,2025-10-06 17:19:02+00:00,0.0,271,307,36,2025-10-31
264710,2025-10-27 17:32:03+00:00,50.02,263,179,-84,2025-10-31
268910,2025-10-06 17:19:04+00:00,0.0,185,175,-10,2025-10-31
270880,2025-10-13 17:17:08+00:00,0.0,117,102,-15,2025-10-31
275850,2025-10-06 17:19:07+00:00,0.0,33,20,-13,2025-10-31
275850,2025-10-20 17:21:41+00:00,60.01,20,21,1,2025-10-31
289070,2025-10-06 17:19:13+00:00,0.0,175,134,-41,2025-10-31
292030,2025-10-06 17:19:15+00:00,0.0,351,352,1,2025-10-31
294100,2025-10-06 17:19:16+00:00,0.0,225,225,0,2025-10-31
294100,2025-10-10 17:15:23+00:00,20.01,239,219,-20,2025-10-31
294100,2025-10-24 17:15:26+00:00,0.0,219,182,-37,2025-10-31
346110,2025-10-06 17:23:37+00:00,0.0,248,223,-25,2025-10-31
367520,2025-10-27 17:20:51+00:00,50.03,109,564,455,2025-10-31
374320,2025-10-06 17:23:49+00:00,0.0,146,185,39,2025-10-31
394360,2025-10-06 17:24:00+00:00,0.0,311,235,-76,2025-10-31
413150,2025-10-06 17:24:08+00:00,0.0,102,84,-18,2025-10-31
457140,2025-10-06 17:24:28+00:00,0.0,99,84,-15,2025-10-31
493340,2025-10-06 17:24:43+00:00,0.0,71,65,-6,2025-10-31
493340,2025-10-14 17:15:27+00:00,75.02,68,74,6,2025-10-31
493340,2025-10-21 17:15:20+00:00,0.0,65,63,-2,2025-10-31
504230,2025-10-06 17:24:49+00:00,0.0,224,313,89,2025-10-31
504230,2025-10-08 17:15:53+00:00,75.04,247,310,63,2025-10-31
504230,2025-10-22 17:16:36+00:00,0.0,310,207,-103,2025-10-31
526870,2025-10-06 17:29:30+00:00,0.0,308,275,-33,2025-10-31
526870,2025-10-20 17:21:56+00:00,30.01,275,304,29,2025-10-31
526870,2025-10-27 17:33:23+00:00,0.0,277,208,-69,2025-10-31
535930,2025-10-06 17:29:38+00:00,0.0,95,104,9,2025-10-31
