app_id,discount_pct,delta_reviews,weight,month
255710,90.03,-9.5,90.03,2025-03-31
289070,90.02,99.33333333333333,90.02,2025-03-31
236850,90.02,18.0,90.02,2025-03-31
257510,85.03,13.5,85.03,2025-03-31
2488620,85.01,77.0,85.01,2025-03-31
620,80.08,2.5,80.08,2025-03-31
292030,80.02,-2.0,80.02,2025-03-31
242760,77.04,28.0,77.04,2025-03-31
270880,75.04,11.333333333333334,75.04,2025-03-31
504230,75.04,0.3333333333333333,75.04,2025-03-31
227300,75.04,10.666666666666666,75.04,2025-03-31
493340,75.02,-9.666666666666666,75.02,2025-03-31
632470,75.02,25.5,75.02,2025-03-31
210970,75.02,19.0,75.02,2025-03-31
883710,75.02,91.5,75.02,2025-03-31
