app_id,discount_pct,delta_reviews,weight,month
289070,95.02,0.0,95.02,2024-12-31
493340,95.02,500.0,95.02,2024-12-31
242760,90.05,71.0,90.05,2024-12-31
257510,90.03,31.25,90.03,2024-12-31
236850,90.02,-92.5,90.02,2024-12-31
620,80.08,-4.0,80.08,2024-12-31
292030,80.02,12.25,80.02,2024-12-31
270880,75.04,-21.0,75.04,2024-12-31
227300,75.04,-7.5,75.04,2024-12-31
504230,75.04,8.0,75.04,2024-12-31
535930,75.03,30.5,75.03,2024-12-31
1649080,75.03,-37.5,75.03,2024-12-31
782330,75.02,27.0,75.02,2024-12-31
703080,75.02,-5.5,75.02,2024-12-31
883710,75.02,-6.0,75.02,2024-12-31
