strategy,model,sim_id,size,depth,base_p,min_p,max_p,alpha,weight_scale,weight_shift,max_steps,lt_threshold,prob_map,edge_weight_key,metadata,month
ic_balanced,ic,0,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,1,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,2,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,3,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,4,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,5,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,6,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,7,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,8,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,9,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,10,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,11,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,12,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,13,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,14,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,15,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,16,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,17,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,18,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,19,11,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,20,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,21,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,22,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,23,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,24,11,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,25,11,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,26,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,27,11,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,28,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,29,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,30,11,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,31,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,32,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,33,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,34,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,35,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,36,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,37,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,38,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,39,9,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,ic,40,10,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
